source_domain,target_domain,dataset_label
cq.com,fiscalnote.com,Politifact_Real
cq.com,fiscalnote-marketing.s3.amazonaws.com,Politifact_Real
cq.com,info.cq.com,Politifact_Real
cq.com,rollcall.com,Politifact_Real
cq.com,careers.fiscalnote.com,Politifact_Real
cq.com,youtube.com,Politifact_Real
politifact.com,bsky.app,Politifact_Real
politifact.com,whitehouse.gov,Politifact_Real
politifact.com,votesmart.org,Politifact_Real
politifact.com,online.wsj.com,Politifact_Real
politifact.com,necn.com,Politifact_Real
politifact.com,bsky.app,Politifact_Real
politifact.com,epa.gov,Politifact_Real
politifact.com,ampd.epa.gov,Politifact_Real
politifact.com,web.archive.org,Politifact_Real
politifact.com,youtube.com,Politifact_Real
politifact.com,boston.com,Politifact_Real
medium.com,house.gov,Politifact_Real
medium.com,help.medium.com,Politifact_Real
medium.com,blog.medium.com,Politifact_Real
medium.com,speechify.com,Politifact_Real
medium.com,rsci.app.link,Politifact_Real
medium.com,policy.medium.com,Politifact_Real
medium.com,medium.statuspage.io,Politifact_Real
youtube.com,developers.google.com,Politifact_Real
youtube.com,developers.google.com,Politifact_Real
twitter.com,help.x.com,Politifact_Real
colbertnation.com,skyshowtime.com,Politifact_Real
colbertnation.com,pplus.legal,Politifact_Real
abcnews.go.com,nielsen.com,Politifact_Real
abcnews.go.com,disneyplus.com,Politifact_Real
cq.com,password.cq.com,Politifact_Real
globalsecurity.org,u24.gov.ua,Politifact_Real
cq.com,password.cq.com,Politifact_Real
medium.com,help.medium.com,Politifact_Real
medium.com,blog.medium.com,Politifact_Real
medium.com,speechify.com,Politifact_Real
medium.com,rsci.app.link,Politifact_Real
medium.com,policy.medium.com,Politifact_Real
medium.com,medium.statuspage.io,Politifact_Real
twitter.com,help.x.com,Politifact_Real
nymag.com,voxmedia.com,Politifact_Real
nymag.com,nymag.secure.darwin.cx,Politifact_Real
nymag.com,vulture.com,Politifact_Real
nymag.com,nymag.zendesk.com,Politifact_Real
nymag.com,shop.nymag.com,Politifact_Real
nymag.com,subs.nymag.com,Politifact_Real
nymag.com,policies.google.com,Politifact_Real
nymag.com,curbed.com,Politifact_Real
nymag.com,mediakit.nymag.com,Politifact_Real
youtube.com,developers.google.com,Politifact_Real
senate.gov,congress.gov,Politifact_Real
abcnews.go.com,nielsen.com,Politifact_Real
abcnews.go.com,disneyplus.com,Politifact_Real
forbes.com,youradchoices.com,Politifact_Real
forbes.com,parsintl.com,Politifact_Real
forbes.com,account.forbes.com,Politifact_Real
forbes.com,forbesmedia.com,Politifact_Real
forbes.com,forbesreprints.magreprints.com,Politifact_Real
forbes.com,forbescoupons.com,Politifact_Real
themoscowtimes.com,flipboard.com,Politifact_Real
themoscowtimes.com,youtube.com,Politifact_Real
themoscowtimes.com,investigatebel.org,Politifact_Real
themoscowtimes.com,mothersanddaughters.themoscowtimes.com,Politifact_Real
themoscowtimes.com,euractiv.com,Politifact_Real
themoscowtimes.com,t.me,Politifact_Real
themoscowtimes.com,moscowtimes.ru,Politifact_Real
themoscowtimes.com,telegram.me,Politifact_Real
themoscowtimes.com,wa.me,Politifact_Real
themoscowtimes.com,generationp.themoscowtimes.com,Politifact_Real
triblive.com,legacy.com,Politifact_Real
triblive.com,realestate.triblive.com,Politifact_Real
triblive.com,sportstalk.triblive.com,Politifact_Real
triblive.com,play.google.com,Politifact_Real
triblive.com,bestofthebest.triblive.com,Politifact_Real
triblive.com,photos.triblive.com,Politifact_Real
triblive.com,advertisers.triblive.com,Politifact_Real
triblive.com,tribliveoffers.com,Politifact_Real
triblive.com,tribtotalmedia.com,Politifact_Real
triblive.com,pittsburghpennysaver.com,Politifact_Real
triblive.com,obituaries.triblive.com,Politifact_Real
triblive.com,businessdirectory.triblive.com,Politifact_Real
triblive.com,neighborhoods.triblive.com,Politifact_Real
triblive.com,signup.triblive.com,Politifact_Real
triblive.com,cookiepedia.co.uk,Politifact_Real
triblive.com,archive.triblive.com,Politifact_Real
triblive.com,tribhssn.triblive.com,Politifact_Real
triblive.com,heroes.triblive.com,Politifact_Real
triblive.com,e.triblive.com,Politifact_Real
triblive.com,mediakit.triblive.com,Politifact_Real
triblive.com,apps.apple.com,Politifact_Real
triblive.com,contests.triblive.com,Politifact_Real
triblive.com,jobs.triblive.com,Politifact_Real
politifact.com,bsky.app,Politifact_Real
politifact.com,irs.gov,Politifact_Real
politifact.com,nj.com,Politifact_Real
cq.com,password.cq.com,Politifact_Real
youtube.com,developers.google.com,Politifact_Real
abcnews.go.com,nielsen.com,Politifact_Real
abcnews.go.com,disneyplus.com,Politifact_Real
latimesblogs.latimes.com,api.whatsapp.com,Politifact_Real
latimesblogs.latimes.com,tiktok.com,Politifact_Real
latimesblogs.latimes.com,enewspaper.latimes.com,Politifact_Real
latimesblogs.latimes.com,apps.apple.com,Politifact_Real
latimesblogs.latimes.com,threads.net,Politifact_Real
latimesblogs.latimes.com,studios.latimes.com,Politifact_Real
latimesblogs.latimes.com,store.latimes.com,Politifact_Real
latimesblogs.latimes.com,placeanad.latimes.com,Politifact_Real
latimesblogs.latimes.com,latimes.com,Politifact_Real
latimesblogs.latimes.com,play.google.com,Politifact_Real
latimesblogs.latimes.com,classifieds.latimes.com,Politifact_Real
latimesblogs.latimes.com,mediakit.latimes.com,Politifact_Real
latimesblogs.latimes.com,marketplace.latimes.com,Politifact_Real
latimesblogs.latimes.com,youtube.com,Politifact_Real
latimesblogs.latimes.com,careers.latimes.com,Politifact_Real
latimesblogs.latimes.com,membership.latimes.com,Politifact_Real
latimesblogs.latimes.com,jobs.latimes.com,Politifact_Real
latimesblogs.latimes.com,peopleonthemove.latimes.com,Politifact_Real
latimesblogs.latimes.com,x.com,Politifact_Real
latimesblogs.latimes.com,digitalagency.latimes.com,Politifact_Real
youtube.com,developers.google.com,Politifact_Real
youtube.com,developers.google.com,Politifact_Real
senate.gov,congress.gov,Politifact_Real
bls.gov,threads.net,Politifact_Real
bls.gov,download.bls.gov,Politifact_Real
bls.gov,dol.gov,Politifact_Real
bls.gov,oig.dol.gov,Politifact_Real
